Name,Type,Cat,latitude,longitude,isObserved
1743.1-2843,0,"E,AS,B",-28.73527778,266.5799872,FALSE
1743.1-2852,0,E,-28.89527778,266.581237,FALSE
1743-288,TB,"A,B,X",-28.89472222,266.695802,TRUE
1744-299,0,"SL,B",-29.99527778,266.8570662,TRUE
J1744-28,TBP,"C,K,AS,X,Gr",-28.74138889,266.1378946,TRUE
1744-300,B,"SL,B",-30.04194444,266.8578994,FALSE
1744-265,BA,"U,M,A,H,S,G,X",-26.56361111,266.983296,FALSE
1744-361,T,A,-36.13138889,267.0558244,TRUE
J1745.6-2901,TB,"AS,B",-29.02611111,266.399976,TRUE
1745-248,TGB,"Ha,Exo",-24.89444444,267.233296,TRUE
1745-203,GT,"U,M",-20.36722222,267.222881,FALSE
1746-331,U,"SL,R",-33.19861111,267.4607996,FALSE
1746.7-3224,0,E,-32.42861111,267.514581,TRUE
1746-370,GBA,"U,M,A,H,S,X,B",-37.05222222,267.5529082,TRUE
1747-214,TB,Exo,-21.4225,267.6070662,TRUE
1747-313,G,"R,Gr,B,X",-31.29222222,267.689553,FALSE
J1748-288,T,"X,B,I",-28.47383333,267.02108,FALSE
J1748.9-2021,TGB,"B,X,R(?)",-20.36194444,267.2224644,TRUE
1749-285,T,"SL,A",-28.50611111,268.066656,TRUE
J1750.8-2900,TB,"B,X",-29.03833333,267.599984,TRUE
J1752.3-3138,B,B,-31.62833333,268.099984,FALSE
1755-338,DU,"U,M,A,H,S,R,G",-33.8075,269.66664,FALSE
J1755-324,T,"X,Gr",-32.4775,268.8691476,TRUE
1758-250,Z,"U,M,A,H,S",-25.07916667,270.2841612,TRUE
1758-258,U,"Gr,X,C,R,AS",-25.74055556,270.3029082,TRUE
1758-205,A,"U,M,A,H,S",-20.52888889,270.3845618,FALSE
1803-245,T,S,-24.5875,271.7091332,FALSE
J1806-246,TB(?)A,X,-24.585,271.712466,TRUE
J1808.4-3658,TPB,"B,X",-36.97897222,272.1147316,TRUE
J1810.8-2609,TB,"B,R",-26.15027778,272.685387,TRUE
1811-171,AB,"U,M,A,H,S,X",-17.15722222,273.6295626,FALSE
1812-12,B,"M,A,H,B",-12.08333333,273.799992,FALSE
1813-140,ZB,"U,M,A,H,S,Exo",-14.03638889,274.0058324,TRUE
J1819.3-2525,T,"B,X",-25.42666667,274.8394857,TRUE
1820-303,GBA,"U,M,A,H,S,X,B,R",-30.36138889,275.9191396,TRUE
1822-371,D,"U,M,A,H,B",-37.10527778,276.4449688,FALSE
1822-000,0,"U,M,A,H,S",0,276.3420686,FALSE
1826-238,TB,"G,B,X",-23.79138889,277.362482,TRUE
1832-330,GB,"R,X,AS",-32.98194444,278.933304,TRUE
1837+049,B,"U,M,A,H,S",5.035833333,279.989545,TRUE
1846-031,TU,Exo,-3.062222222,282.3212386,FALSE
1850-087,GB,"U,A,H,S,B",-8.705555556,283.2704134,FALSE
J1856+053,T,"X,C",5.33,284.162474,TRUE
J1859+226,T,"X,C,B",22.65816667,284.6732223,TRUE
1905+000,B,"U,A,H,S",0,287.112482,TRUE
1908+005,TBA,"U,M,A,S,X,C,G",0,287.816656,FALSE
1915+105,TB,"Gr,B,X,C,I,AS",10.96833333,288.820822,FALSE
1916-053,BD,"U,M,A,H,S,R,AS,B,X,C",-5.235833333,289.699968,TRUE
1918+146,T,"U,A",14.69416667,290.070822,TRUE
1940-04,B,Ha,-3.9,295.658308,TRUE
1957+115,U,"U,M,A,H,S,X,G,Exo,AS",11.70833333,299.849984,FALSE
2000+251,TU,"G,R",25.23666667,300.7066336,FALSE
J2012+381,TU,"X,AS",38.18363889,303.1574748,TRUE
2023+338,TU,"G,X,K",33.86777778,306.0158308,TRUE
J2123-058,TBA,X,-5.798027778,320.8105736,TRUE
2127+119,GB,"U,M,A,H,X",12.1675,322.4928778,FALSE
2129+470,B,"U,M,A,H,R",47.29,322.8591492,FALSE
2142+380,ZB,"U,M,A,H,X,B,G",38.32166667,326.1716392,TRUE
2318+620,0,"U,A",62.2925,350.1420606,TRUE
